,Compound,Date,Negative,Neutral,Positive,Tweet,User
110,-0.1027,Sun Jan 14 15:00:10 +0000 2018,0.116,0.789,0.095,A @NASA telescope has yielded important insights into how stars are born from collapsing gas and dust.… https://t.co/Ag4bp18ZG0,BBC
111,0.0,Sun Jan 14 14:00:04 +0000 2018,0.0,1.0,0.0,"While parts of the US &amp; Canada felt as cold as -67C recently, Australia is experiencing its hottest weather in 79 y… https://t.co/mtrZUhzthy",BBC
112,0.7264,Sun Jan 14 13:26:03 +0000 2018,0.0,0.679,0.321,"🎬 Thrillers, comedy and foreign drama.

📺 @BBC_Culture rounds up the most exciting programmes on the small screen o… https://t.co/DpxgDUIyij",BBC
113,0.5093,Sun Jan 14 13:03:04 +0000 2018,0.0,0.859,0.141,"Nominations for the BBC Food and Farming Awards 2018 are now open! 🌽🍅

If there’s a producer, cook, retailer or ini… https://t.co/mkDAtLcc3R",BBC
114,-0.765,Sun Jan 14 12:30:07 +0000 2018,0.306,0.694,0.0,YouTube has decided to cut ties with vlogger Logan Paul over his Japan suicide video. https://t.co/zE0vEGoLkK https://t.co/rzGMXlKv0s,BBC
115,0.0,Sun Jan 14 12:00:07 +0000 2018,0.0,1.0,0.0,"Ever wondered how mayonnaise is made? 

Take a peek #InsideTheFactory. https://t.co/laIJyyTO5Q",BBC
116,-0.3612,Sun Jan 14 11:30:09 +0000 2018,0.217,0.783,0.0,Snow has fallen in the Sahara desert. ❄️ https://t.co/804PRapagA https://t.co/g3lQIY7l9O,BBC
117,0.8803,Sun Jan 14 11:18:04 +0000 2018,0.0,0.662,0.338,"RT @bbcmusic: Happy Birthday Dave Grohl! 🎁🎈✨

HOW GREAT was the @FooFighters AC/DC cover in @BBCR1's Live Lounge??
Watch 👉 https://t.co/4lk…",BBC
118,0.3612,Sun Jan 14 11:03:03 +0000 2018,0.0,0.839,0.161,🐒❄️ Here's what the weather looked like around the world this week. 📸  https://t.co/TTYG5JmFJ1 https://t.co/l9vs9T9J9A,BBC
119,0.8113,Sun Jan 14 10:42:37 +0000 2018,0.0,0.599,0.401,"RT @BBCRadio4: 🐦 Let this joyous birdsong ease you into your Sunday morning...
https://t.co/t8HCfaDl7X",BBC
120,-0.4939,Mon Jan 15 04:01:51 +0000 2018,0.211,0.789,0.0,This is how people in Hawaii reacted to the missile scare https://t.co/RGxi6lzXEz https://t.co/7wbiOuYRPf,CNN
121,0.0,Mon Jan 15 03:53:02 +0000 2018,0.0,1.0,0.0,Oil tanker burning in the East China Sea sinks https://t.co/fXyBozdAy7 https://t.co/TDxiPF4m3K,CNN
122,0.6209,Mon Jan 15 03:47:03 +0000 2018,0.066,0.701,0.233,"As a citizen of Norway, I can tell you we're not flattered, but offended by President Trump's eagerness to have us… https://t.co/ABxifbiD8Y",CNN
123,-0.34,Mon Jan 15 03:41:06 +0000 2018,0.136,0.794,0.07,"Former US Defense Secretary Chuck Hagel called President Donald Trump ""an embarrassment"" and said he ""is doing grea… https://t.co/RBu9ly88f8",CNN
124,0.6369,Mon Jan 15 03:31:21 +0000 2018,0.0,0.704,0.296,Here's a 2018 guide to Macau's best casinos https://t.co/NxOy7F0bLZ via @CNNTravel https://t.co/qiKuWFw8sY,CNN
