CityID,Latitude,Longtitude,Nearest City,Max_Temp,Humidity,Cloudiness,Wind Speed
412,13.42457671,59.48854902,salalah,28,58,20,4.1
413,-71.9320471,-57.90216507,ushuaia,2,100,75,2.6
414,-72.73715444,-166.9879367,avarua,24,88,40,1
415,60.73286883,-82.14549119,attawapiskat,,,,
416,81.35697175,-55.68274998,upernavik,-22.5,98,32,8.02
417,-30.02042124,-98.07972554,lebu,21.6,55,32,2.67
418,-16.66755001,77.28007111,hithadhoo,29.3,100,20,6.62
419,9.136634692,-68.57007728,san carlos,22.9,77,0,2.67
420,-22.07550419,145.5319936,charters towers,26,68,12,2.42
421,38.93289804,-162.6761589,kapaa,23,94,90,1.87
422,37.00936264,-102.92328,lamar,0,65,1,3.97
423,-71.31232014,-129.4621364,rikitea,27.6,96,64,6.77
424,-32.0360016,99.6761794,geraldton,-14,60,5,1.5
425,84.93129874,171.3345952,pevek,-35.5,55,0,0.87
426,44.5879561,148.8276988,sentyabrskiy,,,,
427,24.40266424,-43.18141414,ponta do sol,18.75,97,36,1.22
428,-47.69806595,-175.9184352,vaini,28.3,77,80,1.67
429,-30.0782602,-30.35012791,sao joao da barra,24.65,100,80,4.62
430,41.20889429,135.863312,preobrazheniye,-1.4,65,0,2.07
431,-82.137705,14.8755798,bredasdorp,23,56,0,10.3
432,19.83198541,32.77398662,marawi,23.2,95,48,1.17
433,-51.32913689,157.996449,tuatapere,12.25,100,24,3.07
434,-32.18587877,-50.73048681,rio grande,18.75,98,0,4.17
435,52.23693059,94.51539698,kyzyl,-2.75,93,0,1.32
436,-22.08708977,37.86816676,inhambane,29,79,40,5.1
437,-7.327900606,45.91696489,mitsamiouli,29,79,75,2.6
438,-50.6265801,158.35273,tuatapere,12.25,100,24,3.07
439,-77.2767306,-156.0176442,mataura,7.65,79,8,2.12
440,13.87027056,-116.7887184,cabo san lucas,20,60,5,2.82
441,84.18808401,-74.89580179,qaanaaq,-30.35,65,0,3.37
442,53.0646593,48.00340331,balasheyka,-6.45,94,76,3.52
443,-8.460141383,93.79886049,bengkulu,,,,
444,-77.72923267,128.3990735,new norfolk,26,41,0,6.7
445,-59.12240326,116.9288064,albany,-4,53,20,6.7
446,83.35207782,-105.3104867,yellowknife,-12,78,40,3.6
447,48.6538845,82.53103046,kurchum,-1.55,100,80,2.12
448,-55.22023335,125.1657634,albany,-4,53,20,6.7
449,-21.16767048,-166.1665607,alofi,23,94,24,0.5
450,-55.61939877,-41.92807517,mar del plata,7.75,92,0,3.62
451,-18.86912523,36.91126055,quelimane,31,62,75,6.2
452,42.78495713,104.3336172,hovd,-4,60,0,4.1
453,7.957812272,-18.32712187,bubaque,21,94,0,1.5
454,-2.894408294,-34.51048375,touros,24.7,97,0,3.07
455,87.84833229,-21.78978082,illoqqortoormiut,,,,
456,-64.00265489,-105.4412308,punta arenas,6,70,75,6.7
457,8.755745943,-29.07405464,sao filipe,20.8,98,0,7.62
458,-36.44302332,105.1019307,busselton,19.35,100,0,8.72
459,57.15192043,96.58914313,aban,,,,
460,5.442429161,-4.102184769,anyama,24,94,20,4.6
461,-7.653137451,83.64024345,hithadhoo,29.3,100,20,6.62
